data,reservaEmergencia,amortecedor,financiamento,viagem,reformaCasa,previdencia,seguroCarro,manutencaoCarro,impostos,suricat,congelamentoSuricats,carro,macbookFirma,rendaPassiva,outros,total,delta,delta12Meses
11/03/2021,,"R$18.272,92","R$3.037,24","R$3.725,85","R$0,00","R$14.472,05","R$2.288,95","R$2.564,51","R$72,09","R$15.390,09",,"R$1.111,57",,,"R$15.244,06","R$76.179,33","R$3.504,64","R$53.299,07"
08/04/2021,,"R$18.529,34","R$3.041,72","R$3.741,29","R$1.755,56","R$15.088,88","R$2.292,32","R$2.568,29","R$183,27","R$10.743,70",,"R$1.228,58",,,"R$14.265,06","R$73.438,01","-R$2.741,32","R$54.514,92"
09/05/2021,,"R$18.894,31","R$3.047,12","R$3.758,78","R$10.213,60","R$15.566,33","R$1.911,35","R$2.572,85","R$183,60","R$8.773,40",,"R$1.235,38",,,"R$13.685,61","R$79.842,33","R$6.404,32","R$59.172,09"
07/06/2021,,"R$19.248,82","R$3.054,93","R$3.775,28","R$2.667,33","R$15.954,19","R$1.531,21","R$2.579,45","R$184,07","R$7.316,10",,"R$1.241,68",,,"R$8.440,58","R$65.993,64","-R$13.848,69","R$39.416,25"
06/07/2021,,"R$22.120,78","R$563,65","R$3.793,34","R$5.064,93","R$16.860,81","R$1.148,95","R$2.585,71","R$184,52","R$5.613,71",,"R$1.248,65",,,"R$24.605,79","R$83.790,84","R$17.797,20","R$51.756,36"
08/09/2021,,"R$21.935,52","R$1.612,60","R$3.817,92","R$16.142,24","R$17.648,61","R$768,88","R$1.115,90","R$534,15","R$5.031,02",,"R$1.606,80",,,"R$12.992,87","R$83.206,51","-R$584,33","R$47.831,68"
07/09/2021,,"R$22.033,56","R$2.018,12","R$3.841,15","R$10.347,86","R$17.557,26","R$827,09","R$1.202,93","R$669,12","R$5.832,87",,"R$1.737,28",,,"R$0,00","R$66.067,24","-R$17.139,27","R$28.920,40"
06/10/2021,,"R$22.501,89","R$3.731,37","R$3.863,88","R$9.198,51","R$18.379,73","R$1.035,13","R$1.514,65","R$1.173,21","R$7.888,18",,"R$2.255,94",,,"R$0,00","R$71.542,49","R$5.475,25","R$26.856,26"
07/11/2021,,"R$23.117,03","R$3.840,74","R$3.889,75","R$6.154,86","R$19.127,87","R$1.058,83","R$1.627,20","R$1.253,85","R$4.250,02","R$149,04","R$2.399,83",,,"R$0,00","R$66.869,02","-R$4.673,47","R$17.351,92"
07/12/2021,,"R$22.361,08","R$4.021,50","R$3.781,76","R$3.430,67","R$18.751,45","R$1.174,11","R$1.777,43","R$1.279,81","R$2.859,59","R$256,78","R$2.297,31",,,"R$0,00","R$61.991,49","-R$4.877,53","R$12.766,60"
09/01/2022,,"R$21.626,10","R$4.559,79","R$3.583,00","R$835,31","R$18.598,25","R$1.139,26","R$1.991,37","R$150,53","R$1.371,60","R$442,24","R$2.153,27",,,"R$0,00","R$56.450,72","-R$5.540,77","-R$5.572,69"
06/02/2022,,"R$20.377,12","R$4.958,50","R$3.454,08","R$346,92","R$18.846,66","R$1.425,54","R$1.960,56","R$149,68","R$2.221,57","R$668,64","R$2.015,03",,,"R$0,00","R$56.424,30","-R$26,42","-R$16.250,39"
07/03/2022,,"R$19.496,51","R$5.267,23","R$3.449,05","R$4,41","R$18.217,96","R$1.764,37","R$1.935,62","R$148,89","R$2.958,19","R$69,11","R$1.958,99",,,"R$0,00","R$55.270,33","-R$1.153,97","-R$20.909,00"
09/04/2022,,"R$22.041,75","R$9.784,43","R$1.799,99","R$41.134,68","R$21.602,13","R$2.369,60","R$2.886,44","R$712,67","R$5.320,51","R$651,13","R$1.945,00",,"R$2.309,82","R$0,00","R$112.558,15","R$57.287,82","R$39.120,14"
09/05/2022,,"R$19.053,63","R$10.294,37","R$1.717,97","R$43.117,30","R$20.443,12","R$2.085,41","R$2.824,72","R$855,23","R$5.352,17","R$882,15","R$1.838,83","R$226,32","R$1.556,54","R$0,00","R$110.247,76","-R$2.310,39","R$30.405,43"
09/06/2022,,"R$17.291,74","R$7.881,96","R$1.708,27","R$43.506,66","R$20.077,39","R$1.640,41","R$2.569,18","R$839,03","R$5.348,94","R$889,64","R$1.599,22","R$228,69","R$1.590,98","R$0,00","R$105.172,11","-R$5.075,65","R$39.178,47"
10/07/2022,,"R$17.890,49","R$8.504,63","R$1.689,19","R$46.055,94","R$20.547,29","R$1.232,85","R$2.332,98","R$813,88","R$6.197,80","R$896,83","R$1.548,15","R$377,39","R$994,62","R$0,00","R$109.082,04","R$3.909,93","R$25.291,20"
08/08/2022,,"R$19.851,92","R$9.363,51","R$1.710,86","R$48.063,04","R$22.199,94","R$906,64","R$2.133,31","R$834,59","R$6.866,48","R$903,83","R$1.587,04","R$551,71","R$1.116,76","R$0,00","R$116.089,63","R$7.007,59","R$32.883,12"
10/09/2022,,"R$21.405,36","R$10.673,28","R$3.359,24","R$46.722,56","R$23.576,75","R$839,86","R$1.950,04","R$835,00","R$7.984,91","R$352,13","R$1.645,11","R$773,05","R$1.368,44","R$0,00","R$121.485,74","R$5.396,11","R$55.418,50"
10/10/2022,,"R$21.616,67","R$10.780,40","R$3.367,12","R$45.632,37","R$23.137,46","R$467,41","R$1.695,49","R$843,67","R$8.092,69","R$359,21","R$1.638,09","R$782,35","R$1.355,20","R$0,00","R$119.768,13","-R$1.717,61","R$48.225,64"
09/11/2022,,"R$22.368,86","R$11.381,02","R$2.010,22","R$44.568,25","R$23.498,54","R$229,71","R$1.467,03","R$842,89","R$8.653,28","R$461,88","R$1.672,37","R$886,06","R$1.399,84","R$0,00","R$119.439,96","-R$328,16","R$52.570,94"
11/12/2022,,"R$23.117,52","R$11.937,22","R$1.128,66","R$46.248,85","R$23.989,84","R$780,56","R$1.823,15","R$1.166,21","R$9.462,74","R$470,71","R$1.841,05","R$996,22","R$1.373,79","R$0,00","R$124.336,52","R$4.896,56","R$62.345,03"
09/01/2023,,"R$24.982,16","R$13.237,89","R$1.698,88","R$48.386,08","R$25.211,78","R$1.906,82","R$2.086,52","R$563,49","R$10.679,57","R$699,71","R$2.536,88","R$1.232,99","R$1.333,75","R$0,00","R$134.556,51","R$10.219,99","R$78.105,79"
09/02/2023,,"R$26.284,15","R$14.024,76","R$2.140,80","R$49.649,57","R$26.615,35","R$2.365,23","R$2.066,62","R$138,03","R$11.276,10","R$810,84","R$2.901,98","R$1.341,17","R$1.375,36","R$0,00","R$140.989,95","R$6.433,44","R$84.565,65"
10/03/2023,,"R$26.757,51","R$14.320,03","R$2.248,89","R$40.052,32","R$26.274,82","R$2.371,40","R$1.852,81","R$139,00","R$11.558,81","R$819,12","R$3.005,75","R$1.453,15","R$1.361,76","R$0,00","R$132.215,38","-R$8.774,58","R$76.945,05"
10/04/2023,,"R$26.615,87","R$14.883,33","R$2.385,34","R$38.114,24","R$27.243,32","R$2.614,13","R$1.673,23","R$140,49","R$11.904,27","R$243,78","R$3.175,41","R$1.588,10","R$1.371,75","R$0,00","R$131.953,28","-R$262,10","R$19.395,13"
08/05/2023,,"R$27.338,57","R$15.425,84","R$2.580,23","R$39.190,94","R$28.565,26","R$2.394,02","R$1.235,44","R$325,66","R$12.179,30","R$432,46","R$3.381,83","R$1.799,51","R$1.298,23","R$0,00","R$136.147,28","R$4.194,00","R$25.899,52"
10/06/2023,,"R$28.061,97","R$15.913,36","R$2.709,59","R$39.982,55","R$30.319,42","R$2.113,99","R$1.017,64","R$531,46","R$12.434,83","R$639,09","R$3.455,76","R$1.951,83","R$1.329,95","R$0,00","R$140.461,43","R$4.314,15","R$35.289,32"
07/07/2023,,"R$30.178,62","R$17.212,52","R$3.322,38","R$42.683,40","R$33.014,92","R$2.313,94","R$1.315,58","R$1.124,74","R$13.555,69","R$880,08","R$3.723,39","R$2.208,40","R$1.058,22","R$0,00","R$152.591,88","R$12.130,45","R$43.509,84"
06/08/2023,"R$ 21.749,92","R$10.037,15","R$17.734,89","R$2.228,31","R$43.519,05","R$33.636,76","R$2.006,24","R$1.096,16","R$1.215,81","R$13.863,97","R$885,63","R$3.833,78","R$2.306,61","R$0,00","R$0,00","R$154.114,27","R$1.522,39","R$38.024,64"
07/09/2023,"R$ 22.166,25","R$9.893,96","R$17.693,29","R$2.033,03","R$43.803,64","R$33.292,65","R$1.607,65","R$785,71","R$1.231,00","R$13.996,40","R$116,58","R$3.837,41","R$2.307,21","R$0,00","R$0,00","R$152.764,78","-R$1.349,49","R$31.279,03"
08/10/2023,"R$ 22.639,75","R$8.680,04","R$18.008,34","R$1.956,59","R$37.002,61","R$33.463,68","R$1.314,62","R$680,68","R$1.435,14","R$14.415,90","R$215,78","R$3.863,85","R$2.319,76","R$0,00","R$0,00","R$145.996,75","-R$6.768,02","R$26.228,62"
08/11/2023,"R$ 22.909,51","R$8.342,40","R$18.509,29","R$2.020,51","R$30.077,05","R$33.844,80","R$1.351,24","R$316,25","R$1.445,16","R$14.591,45","R$217,65","R$3.948,63","R$2.378,87","R$0,00","R$0,00","R$139.952,82","-R$6.043,93","R$20.512,85"
10/12/2023,"R$ 23.495,01","R$8.839,37","R$19.208,77","R$2.215,02","R$23.375,39","R$35.523,30","R$1.518,63","R$421,40","R$1.570,29","R$14.753,47","R$335,53","R$4.050,26","R$2.560,79","R$0,00","R$0,00","R$137.867,23","-R$2.085,59","R$13.530,71"
09/01/2024,"R$ 24.348,79","R$8.603,25","R$20.099,09","R$2.042,62","R$25.132,62","R$37.044,56","R$1.721,22","R$1.037,13","R$895,01","R$15.828,77","R$644,48","R$4.303,18","R$2.716,97","R$0,00","R$0,00","R$144.417,69","R$6.550,46","R$9.861,18"
07/02/2024,"R$ 26.087,60","R$9.616,26","R$21.755,69","R$2.808,19","R$25.711,48","R$39.095,10","R$2.179,91","R$2.550,90","R$1.202,23","R$12.403,50","R$801,39","R$4.786,01","R$2.892,62","R$0,00","R$0,00","R$151.890,90","R$7.473,20","R$10.900,94"
10/03/2024,"R$ 27.011,33","R$10.025,65","R$23.040,03","R$3.234,22","R$27.225,16","R$41.662,35","R$2.569,65","R$2.752,33","R$761,40","R$13.444,79","R$197,59","R$5.215,16","R$3.124,60","R$0,00","R$0,00","R$160.264,26","R$8.373,36","R$28.048,88"
08/04/2024,"R$ 27.685,58","R$10.324,42","R$23.571,93","R$3.481,71","R$19.700,52","R$42.082,03","R$2.813,01","R$2.653,27","R$856,12","R$14.444,17","R$334,62","R$5.473,10","R$3.369,84","R$0,00","R$0,00","R$156.790,31","-R$3.473,95","R$24.837,03"
11/05/2024,"R$ 28.206,75","R$7.438,61","R$23.623,78","R$3.435,34","R$20.120,86","R$41.567,05","R$2.559,84","R$2.727,00","R$860,89","R$14.804,27","R$431,82","R$5.435,25","R$3.419,61","R$0,00","R$0,00","R$154.631,08","-R$2.159,23","R$18.483,80"
09/06/2024,"R$ 30.552,26","R$9.330,25","R$25.913,15","R$3.892,01","R$16.633,97","R$44.246,62","R$2.379,77","R$3.165,75","R$1.067,10","R$18.980,09","R$636,76","R$5.946,32","R$3.875,51","R$0,00","R$0,00","R$166.619,57","R$11.988,49","R$26.158,14"
08/07/2024,"R$ 31.224,46","R$9.055,13","R$26.311,12","R$4.086,89","R$17.002,99","R$45.336,88","R$2.128,49","R$3.150,47","R$1.211,57","R$18.356,38","R$732,68","R$6.064,90","R$4.068,43","R$0,00","R$0,00","R$168.730,37","R$2.110,80","R$16.138,49"
08/08/2024,"R$ 31.848,74","R$9.392,25","R$26.799,26","R$4.187,11","R$14.333,28","R$45.522,81","R$2.046,56","R$2.046,56","R$1.353,57","R$16.193,28","R$791,53","R$6.106,31","R$4.112,63","R$0,00","R$0,00","R$164.733,88","-R$3.996,49","R$10.619,61"
06/09/2024,"R$ 34.372,91","R$11.667,21","R$29.100,17","R$5.066,11","R$8.783,41","R$48.344,08","R$2.258,01","R$4.264,79","R$1.364,98","R$19.897,07","R$235,12","R$6.738,71","R$4.115,54","R$0,00","R$0,00","R$176.208,11","R$11.474,23","R$23.443,33"
08/10/2024,"R$ 35.124,72","R$12.194,64","R$29.380,02","R$3.082,46","R$8.540,32","R$48.943,15","R$2.080,43","R$3.721,55","R$1.358,26","R$20.292,96","R$241,16","R$6.745,33","R$4.067,76","R$0,00","R$0,00","R$175.772,78","-R$435,33","R$29.776,02"
06/11/2024,"R$ 35.691,27","R$12.176,32","R$30.366,96","R$3.186,04","R$7.511,52","R$50.317,91","R$1.892,23","R$3.174,09","R$1.381,00","R$14.091,91","R$242,99","R$6.952,41","R$4.209,10","R$0,00","R$0,00","R$171.193,75","-R$4.579,03","R$31.240,93"
07/12/2024,"R$ 36.645,62","R$13.153,22","R$32.790,44","R$2.912,76","R$7.247,66","R$55.367,82","R$1.941,11","R$2.792,32","R$1.404,05","R$13.506,47","R$244,75","R$7.768,93","R$4.550,11","R$0,00","R$0,00","R$180.325,27","R$9.131,52","R$42.458,03"
